model,metrics,values
Logistic Regression,fit_time,"0,4911112785339355"
Logistic Regression,fit_time,"0,4581043720245361"
Logistic Regression,fit_time,"0,4341135025024414"
Random Forest,fit_time,"21,43839740753174"
Random Forest,fit_time,"22,37077307701111"
Random Forest,fit_time,"22,51305913925171"
KNN,fit_time,"0,0180039405822753"
KNN,fit_time,"0,0170037746429443"
KNN,fit_time,"0,0179977416992187"
CatBoost,fit_time,"13,305011987686155"
CatBoost,fit_time,"12,982780456542969"
CatBoost,fit_time,"12,912981510162354"
Bagging,fit_time,"11,536972284317017"
Bagging,fit_time,"12,763587474822998"
Bagging,fit_time,"10,585402488708496"
LDA,fit_time,"0,0980222225189209"
LDA,fit_time,"0,0920207500457763"
LDA,fit_time,"0,0960218906402587"
XGB,fit_time,"0,4831099510192871"
XGB,fit_time,"0,2530570030212402"
XGB,fit_time,"0,2420549392700195"
Logistic Regression,score_time,"0,0280065536499023"
Logistic Regression,score_time,"0,0260059833526611"
Logistic Regression,score_time,"0,026005744934082"
Random Forest,score_time,"0,2090470790863037"
Random Forest,score_time,"0,2140493392944336"
Random Forest,score_time,"0,2140488624572754"
KNN,score_time,"3,7509238719940186"
KNN,score_time,"3,579345226287842"
KNN,score_time,"3,6411187648773193"
CatBoost,score_time,"0,0440092086791992"
CatBoost,score_time,"0,0440151691436767"
CatBoost,score_time,"0,0430099964141845"
Bagging,score_time,"0,1170272827148437"
Bagging,score_time,"0,1180286407470703"
Bagging,score_time,"0,108025312423706"
LDA,score_time,"0,0270073413848876"
LDA,score_time,"0,0270068645477294"
LDA,score_time,"0,0300066471099853"
XGB,score_time,"0,0560131072998046"
XGB,score_time,"0,0580136775970459"
XGB,score_time,"0,0550127029418945"
Logistic Regression,test_accuracy,"0,9989045251537878"
Logistic Regression,test_accuracy,"0,9989466588017192"
Logistic Regression,test_accuracy,"0,9990730597455127"
Random Forest,test_accuracy,"0,9994943962248252"
Random Forest,test_accuracy,"0,9992415943372376"
Random Forest,test_accuracy,"0,9995365298727564"
KNN,test_accuracy,"0,9981039858430945"
KNN,test_accuracy,"0,9983567877306816"
KNN,test_accuracy,"0,998567455970338"
CatBoost,test_accuracy,"0,9995365298727564"
CatBoost,test_accuracy,"0,9993258616331002"
CatBoost,test_accuracy,"0,9996207971686188"
Bagging,test_accuracy,"0,9991994606893064"
Bagging,test_accuracy,"0,9989887924496504"
Bagging,test_accuracy,"0,9995786635206876"
LDA,test_accuracy,"0,9995365298727564"
LDA,test_accuracy,"0,9990309260975816"
LDA,test_accuracy,"0,9993679952810316"
XGB,test_accuracy,"0,9994943962248252"
XGB,test_accuracy,"0,999283727985169"
XGB,test_accuracy,"0,9997050644644814"
Logistic Regression,test_precision,"0,7777777777777778"
Logistic Regression,test_precision,"0,6944444444444444"
Logistic Regression,test_precision,"0,6857142857142857"
Random Forest,test_precision,"0,9473684210526316"
Random Forest,test_precision,"0,8181818181818182"
Random Forest,test_precision,"0,9615384615384616"
KNN,test_precision,"1,0"
KNN,test_precision,"0,0"
KNN,test_precision,"1,0"
CatBoost,test_precision,"0,972972972972973"
CatBoost,test_precision,"0,8484848484848485"
CatBoost,test_precision,"0,9642857142857144"
Bagging,test_precision,"0,8292682926829268"
Bagging,test_precision,"0,7419354838709677"
Bagging,test_precision,"0,9629629629629628"
LDA,test_precision,"0,9069767441860463"
LDA,test_precision,"0,7857142857142857"
LDA,test_precision,"0,8571428571428571"
XGB,test_precision,"0,9722222222222222"
XGB,test_precision,"0,84375"
XGB,test_precision,"1,0"
Logistic Regression,test_recall,"0,6086956521739131"
Logistic Regression,test_recall,"0,6410256410256411"
Logistic Regression,test_recall,"0,6857142857142857"
Random Forest,test_recall,"0,782608695652174"
Random Forest,test_recall,"0,6923076923076923"
Random Forest,test_recall,"0,7142857142857143"
KNN,test_recall,"0,0217391304347826"
KNN,test_recall,"0,0"
KNN,test_recall,"0,0285714285714285"
CatBoost,test_recall,"0,782608695652174"
CatBoost,test_recall,"0,717948717948718"
CatBoost,test_recall,"0,7714285714285715"
Bagging,test_recall,"0,7391304347826086"
Bagging,test_recall,"0,5897435897435898"
Bagging,test_recall,"0,7428571428571429"
LDA,test_recall,"0,8478260869565217"
LDA,test_recall,"0,5641025641025641"
LDA,test_recall,"0,6857142857142857"
XGB,test_recall,"0,7608695652173914"
XGB,test_recall,"0,6923076923076923"
XGB,test_recall,"0,8"
Logistic Regression,test_f1,"0,6829268292682927"
Logistic Regression,test_f1,"0,6666666666666666"
Logistic Regression,test_f1,"0,6857142857142857"
Random Forest,test_f1,"0,8571428571428571"
Random Forest,test_f1,"0,75"
Random Forest,test_f1,"0,819672131147541"
KNN,test_f1,"0,0425531914893617"
KNN,test_f1,"0,0"
KNN,test_f1,"0,0555555555555555"
CatBoost,test_f1,"0,8674698795180723"
CatBoost,test_f1,"0,7777777777777778"
CatBoost,test_f1,"0,8571428571428571"
Bagging,test_f1,"0,7816091954022989"
Bagging,test_f1,"0,6571428571428571"
Bagging,test_f1,"0,8387096774193549"
LDA,test_f1,"0,8764044943820225"
LDA,test_f1,"0,6567164179104478"
LDA,test_f1,"0,7619047619047619"
XGB,test_f1,"0,8536585365853658"
XGB,test_f1,"0,7605633802816901"
XGB,test_f1,"0,8888888888888888"
Logistic Regression,test_roc_auc,"0,9391473209697077"
Logistic Regression,test_roc_auc,"0,9428744569069532"
Logistic Regression,test_roc_auc,"0,8980656206108758"
Random Forest,test_roc_auc,"0,9660899666681352"
Random Forest,test_roc_auc,"0,9470655390891728"
Random Forest,test_roc_auc,"0,926465251698384"
KNN,test_roc_auc,"0,5412559835836893"
KNN,test_roc_auc,"0,5361144025841219"
KNN,test_roc_auc,"0,5406183503824754"
CatBoost,test_roc_auc,"0,9900206305155428"
CatBoost,test_roc_auc,"0,982979206908306"
CatBoost,test_roc_auc,"0,9593075054402536"
Bagging,test_roc_auc,"0,9454254952057912"
Bagging,test_roc_auc,"0,9354916378550056"
Bagging,test_roc_auc,"0,8997673198989711"
LDA,test_roc_auc,"0,9888330910532576"
LDA,test_roc_auc,"0,990296557209408"
LDA,test_roc_auc,"0,9702458813813722"
XGB,test_roc_auc,"0,9903124678795354"
XGB,test_roc_auc,"0,9735906633986398"
XGB,test_roc_auc,"0,9495542307390908"
